"Study","rstudent","dffits","cook.d","cov.r","tau2.del","QE.del","hat","weight","ResponseVariable","IsInfluential"
240,0.0513418133346411,0.00228912139313809,5.24269722487649e-06,1.00332014034497,0.00371866896831318,129604.703941008,0.00147559614523333,0.147559614523333,"Soil quality",FALSE
241,0.119744336326766,0.00654741859942359,4.29303595989829e-05,1.00563522041754,0.00372425779677425,129604.591078429,0.00251254082950441,0.251254082950441,"Soil quality",FALSE
242,0.0687423056137772,0.00249125731144438,6.20802254991153e-06,1.00242640525757,0.00371648575295708,129604.774014547,0.00107982533917968,0.107982533917968,"Soil quality",FALSE
243,0.102474933550522,0.00690647198920917,4.78393412973855e-05,1.00805821485207,0.0037301643028776,129604.233589271,0.00358122200045271,0.358122200045271,"Soil quality",FALSE
244,0.074097397782007,0.00442919782960545,1.96505267940506e-05,1.00607249543933,0.00372536663003144,129604.479107049,0.00269596066440387,0.269596066440387,"Soil quality",FALSE
245,0.0628565798943185,0.00294349754748464,8.66982808617263e-06,1.00379229284985,0.00371981731074423,129604.680546826,0.00168551052600165,0.168551052600165,"Soil quality",FALSE
246,0.10224442006712,0.00905872438564586,8.27022265541631e-05,1.01317130002291,0.00374258203544924,129599.543227721,0.00584203433989356,0.584203433989356,"Soil quality",FALSE
247,0.15857358128685,0.00776274631545632,6.03213845281727e-05,1.00472881609321,0.00372201015625534,129604.70643448,0.00212048396680686,0.212048396680686,"Soil quality",FALSE
248,0.114997201278086,0.00629449268398607,3.96771974824053e-05,1.00561377332851,0.00372421153733135,129604.586983879,0.00250170845263957,0.250170845263957,"Soil quality",FALSE
249,0.0547219411428761,0.00436390472005373,1.9116316234764e-05,1.00919410344933,0.00373298475088139,129603.823657485,0.00406978945319554,0.406978945319554,"Soil quality",FALSE
250,0.00149704792095276,1.17161868582717e-06,1.37269034505995e-12,1.00000113517755,0.0037105653407892,129604.867475372,5.05356355372181e-07,5.05356355372181e-05,"Soil quality",FALSE
1,0.364071615483374,0.03709791933086,0.00138805122005679,1.01908342396907,0.00980320226407553,3741.27676861945,0.0101686924534508,1.01686924534508,"Greenhouse gas emission",FALSE
2,-0.439298554730445,-0.0457055969590864,0.00210769598329642,1.01957999699511,0.00980164350870977,3749.36966038721,0.0108043324695615,1.08043324695615,"Greenhouse gas emission",FALSE
3,-1.1885525682455,-0.123610216577133,0.0152108128368357,1.00639740535314,0.00966815724042194,3730.03047021372,0.0106807650161174,1.06807650161174,"Greenhouse gas emission",FALSE
4,-0.938921165936677,-0.0974636608011424,0.00951078307947328,1.01198037752584,0.0097253805493427,3740.95799672347,0.0106668452236719,1.06668452236719,"Greenhouse gas emission",FALSE
5,-0.882496943656163,-0.0903846687226332,0.00818752968924023,1.0127349337597,0.00973596340134135,3745.62391257884,0.0103921353765692,1.03921353765692,"Greenhouse gas emission",FALSE
6,-0.791032906813752,-0.0818013204587492,0.00671788702210611,1.01461163776627,0.00975293362754539,3745.76305227845,0.0106044542720443,1.06044542720443,"Greenhouse gas emission",FALSE
7,1.48141052662763,0.15267782184497,0.0230231585656631,0.998431354150107,0.00958816467769376,3663.57164772827,0.0105424474852938,1.05424474852938,"Greenhouse gas emission",FALSE
8,-0.825202749611687,-0.0859900634274622,0.00741984283498214,1.01423613415979,0.00974743879739609,3742.29387033905,0.0107629949663837,1.07629949663837,"Greenhouse gas emission",FALSE
9,-0.534026733690888,-0.0554829557717242,0.00310246055149031,1.01847934805691,0.00979097422698572,3748.91368803904,0.0107483956857053,1.07483956857053,"Greenhouse gas emission",FALSE
10,-0.879298589904026,-0.0907164446613017,0.00824875709495944,1.01297969830672,0.0097368763168707,3744.51094533342,0.0105443764143807,1.05443764143807,"Greenhouse gas emission",FALSE
11,-0.289640784466942,-0.0286647344378326,0.000828587760190238,1.0188829502965,0.00980477538230979,3749.23325454068,0.00982161227113485,0.982161227113485,"Greenhouse gas emission",FALSE
12,-0.947459893822858,-0.0934624589029315,0.00874284966856423,1.01067962082691,0.00972279566490267,3747.05442944758,0.00964012850167506,0.964012850167506,"Greenhouse gas emission",FALSE
13,3.23873942739387,0.328826660606967,0.0987171758883579,0.922418339644252,0.00881344976853046,3546.16723343934,0.0103373238085808,1.03373238085808,"Greenhouse gas emission",TRUE
14,1.91072776234122,0.197095864573843,0.0377900523656084,0.983814031340632,0.00943835130646432,3610.95193126991,0.0105798154884239,1.05798154884239,"Greenhouse gas emission",FALSE
15,1.38570106021499,0.139609675323082,0.0193215913148973,1.00117958714024,0.00962106841016775,3711.03749749991,0.0100816774889003,1.00816774889003,"Greenhouse gas emission",FALSE
16,0.717688383768489,0.0727248054133994,0.00531408761952635,1.01514951803614,0.00976336317710116,3733.09377424995,0.0101321587451504,1.01321587451504,"Greenhouse gas emission",FALSE
17,-0.235806977434711,-0.023221303418402,0.000543854032615041,1.01904189878201,0.00980705824120664,3749.10247080421,0.00975860031698722,0.975860031698722,"Greenhouse gas emission",FALSE
18,-0.586249885645173,-0.0582662019507731,0.00341533421121776,1.01630893711278,0.00977845922156703,3749.09176669636,0.00982147959761226,0.982147959761225,"Greenhouse gas emission",FALSE
19,-0.712501078776281,-0.0727387291675736,0.00531722792874839,1.0154770643284,0.00976448505796493,3747.97925205891,0.010345514737805,1.0345514737805,"Greenhouse gas emission",FALSE
20,-0.776242852206137,-0.0789823205009513,0.00626279942079065,1.01438829293893,0.00975415432549773,3747.5014036406,0.0102688057475944,1.02688057475944,"Greenhouse gas emission",FALSE
21,-0.71351318688037,-0.0728693729714294,0.00533630504582436,1.01547349919984,0.00976436894529312,3747.954525697,0.0103531461977696,1.03531461977696,"Greenhouse gas emission",FALSE
22,-0.895485485684614,-0.0916685351655741,0.00841975061680571,1.01248213680358,0.00973350214544081,3745.48110814665,0.0103803275982214,1.03803275982214,"Greenhouse gas emission",FALSE
23,-0.0942764887799956,-0.0093056215747915,8.74292679259892e-05,1.02017837068155,0.00981517907857391,3748.10709852975,0.0100937921561098,1.00937921561098,"Greenhouse gas emission",FALSE
24,-0.261040465393727,-0.0261428370913572,0.000689614559905765,1.01953901330143,0.0098087985927683,3749.08190769586,0.010078803618754,1.0078803618754,"Greenhouse gas emission",FALSE
25,0.830553138329147,0.0838833176674783,0.00705771920351881,1.01332256052953,0.00974523486876329,3730.87980488909,0.0100794275304792,1.00794275304792,"Greenhouse gas emission",FALSE
26,0.0544150931913628,0.00569902696398815,3.2790867375995e-05,1.02014167747674,0.00981534419486006,3746.83167510796,0.0100420355854401,1.00420355854401,"Greenhouse gas emission",FALSE
27,0.754306667926556,0.0744856015178194,0.0055693721967968,1.01388314595786,0.00975567522719434,3738.59657766246,0.00962804782542508,0.962804782542508,"Greenhouse gas emission",FALSE
28,-0.13361324988194,-0.0127498751970895,0.000163874002819497,1.01847569214071,0.00980620034750755,3748.91618741649,0.00928611894510367,0.928611894510367,"Greenhouse gas emission",FALSE
29,2.79773021858551,0.288770222930108,0.0777371479109787,0.943994830291848,0.00903099297822975,3471.24331714847,0.0106171169671673,1.06171169671673,"Greenhouse gas emission",TRUE
30,-0.73989820918166,-0.0778109892570097,0.00608558572041376,1.01597856459444,0.00976304306180346,3711.06255619128,0.0109746171961,1.09746171961,"Greenhouse gas emission",FALSE
31,-0.465981056234203,-0.0488551701968823,0.00240815358965173,1.01960382094972,0.00980020714105847,3749.08446966753,0.0109652262205023,1.09652262205023,"Greenhouse gas emission",FALSE
32,-0.673563806004636,-0.0708132152068893,0.0050456678716194,1.01701625040813,0.00977360550274521,3721.06170187963,0.0109791336996333,1.09791336996333,"Greenhouse gas emission",FALSE
33,-0.715964537878604,-0.0751943083506299,0.00568529876627524,1.01632391034572,0.00976683696702636,3732.69025742622,0.0109494400237469,1.09494400237469,"Greenhouse gas emission",FALSE
34,-0.849002811625359,-0.0893154894726282,0.00800219701554761,1.01406739616784,0.00974359656007798,3696.74386853302,0.0109656503979923,1.09656503979923,"Greenhouse gas emission",FALSE
35,-0.777864283716579,-0.0818251705422803,0.00672523279669655,1.01534595367909,0.00975657733979135,3701.34406493072,0.0109744016755842,1.09744016755842,"Greenhouse gas emission",FALSE
36,-0.851786734124424,-0.0896977319827982,0.00807049418950328,1.01404287992847,0.0097431222736958,3613.94270699312,0.0109870531572038,1.09870531572038,"Greenhouse gas emission",FALSE
37,-0.738655735790325,-0.0776001665304747,0.00605265655322187,1.01596610231604,0.00976315026532451,3728.81841258864,0.010952157044733,1.0952157044733,"Greenhouse gas emission",FALSE
38,-0.820187730171637,-0.0863628107756435,0.00748608622862168,1.01462523292889,0.0097490480311307,3605.53728820278,0.0109897643206761,1.09897643206761,"Greenhouse gas emission",FALSE
