Observed_Outcome,Cooks_Distance
379,1.5843398671922823e-6
380,1.142434957988831e-6
381,1.481212653684751e-6
382,4.628115371179271e-7
383,7.85778906234769e-7
384,1.3548746836831063e-7
385,3.099123633134578e-7
386,6.69675199173262e-9
387,1.6567070896715334e-6
388,3.546910012938256e-6
389,7.693127646737104e-6
390,7.627172729802361e-6
391,1.1754762986970645e-7
392,3.6622861067449675e-6
393,2.247164867720808e-5
394,1.4782862887986755e-5
395,9.027778225584235e-5
396,5.034134901203911e-6
397,7.14991665646698e-5
398,1.3390310129312592e-8
399,2.763920882048746e-9
400,4.773731112538924e-7
401,3.3495707947424313e-7
402,1.0618562201624088e-6
403,7.124909025716876e-7
404,8.751741054074716e-7
405,3.220801267853357e-7
406,1.0876571248113651e-6
407,5.950412569990565e-7
408,7.606328976579819e-8
409,3.0439022161079833e-6
410,3.5407733272326376e-6
411,6.73782700114373e-7
412,7.597790463499364e-6
413,3.3937566796971425e-6
414,1.2284147434168105e-6
415,1.8337484408044694e-6
416,1.197850530197429e-6
417,1.9894596818198948e-06
418,1.4353097775150662e-6
419,2.2004430039855486e-6
420,1.0562824749584075e-6
421,2.1333452271152073e-6
422,6.098090011359021e-7
423,1.8624959512493625e-6
424,3.342600379015444e-7
425,1.7833330060081862e-6
426,6.5784485860303605e-6
427,1.9615091434873508e-8
428,1.999024260680475e-6
429,1.2268586927648587e-7
430,5.833701704939727e-8
431,3.3008870469360275e-7
432,6.61485843075466e-7
433,8.356278664089314e-7
434,8.603927195917495e-6
435,6.394361250414788e-8
436,0.001352998603632387
437,1.1608735177622638e-4
438,2.872761926188263e-4
439,7.406819027288714e-5
440,7.633656077093813e-5
441,1.804739328459192e-5
442,2.3085592282361737e-6
443,2.303228159925819e-6
444,1.1818029157377243e-6
445,4.4194564710724116e-5
446,2.0721812224046565e-6
447,1.7870129237678658e-6
448,0.026814043416355543
449,8.797027903319164e-6
450,6.735125526946604e-8
451,1.323563384509583e-4
452,5.6097920196015664e-8
453,2.017069812046826e-5
454,1.0303279127793373e-5
455,1.559653207460544e-8
456,8.579506804734947e-7
457,3.0362376915770042e-6
458,2.7876621347699345e-7
459,1.8343491305254104e-6
460,8.599628029858969e-7
461,2.3083331131521438e-6
462,1.7523339240482944e-6
463,2.663601721072487e-7
464,4.573015296074629e-6
465,2.218318228256349e-7
466,1.0410483347243807e-6
467,7.152283113554964e-7
468,2.977090027090312e-6
469,1.7611810009091805e-5
470,1.2859695499476848e-5
471,1.2986285201245203e-6
472,2.650728797404832e-6
473,2.3766251596097237e-6
474,1.0632335093732272e-5
475,3.390374428967617e-5
476,4.850488270163663e-6
477,1.9880180913573466e-6
478,1.1008320187403791e-7
479,2.363004670995958e-6
480,1.6826529551823105e-5
481,6.676689545691419e-6
482,1.6655644544613122e-5
483,2.984313060214844e-6
484,7.268545011774599e-7
485,3.2014183692135627e-7
486,1.6586235235566446e-6
487,2.9896753495784504e-6
488,1.1009771512384971e-5
489,4.999613247379777e-5
490,6.083449036033033e-4
491,3.205242040161856e-4
492,4.702884705772677e-5
493,8.035983592455417e-8
494,0.0020196116871813584
495,3.8962382079994263e-4
496,8.503565954635674e-5
497,0.0012002279869289694
498,1.5947404986236293e-4
499,9.698188640379524e-6
500,2.472780913092154e-4
501,8.711968460331684e-5
502,0.0014718331114069764
503,2.1907450690838676e-06
504,1.0797983030209687e-5
505,1.0884840087486495e-4
506,1.4424696505691375e-7
507,4.912852987700967e-5
508,1.095564557834454e-4
509,3.335480035663697e-6
510,1.5440448917437518e-4
511,3.1272527133204486e-5
512,9.966645288554484e-5
513,1.1646765991764755e-5
514,1.9594717065359695e-5
515,1.5629333999602617e-8
516,1.6310944651014892e-7
517,7.394098973741654e-7
518,1.9688193328258315e-5
519,1.2669387570798336e-7
520,6.535813340454839e-5
521,1.2497243198294932e-5
522,2.075218318466124e-5
523,5.3235377230391795e-5
524,8.698283002069797e-6
525,1.9869025095464168e-5
526,6.146105276465952e-5
527,2.867107550082535e-5
528,1.1417980002541699e-5
529,2.2422412205311777e-6
530,1.3672043262139347e-4
531,2.51273446865213e-6
532,9.37597522223709e-7
533,1.0253237691837141e-6
534,7.420279533997473e-7
535,2.627384144586849e-4
536,5.61649358787903e-5
537,9.147358761947347e-8
538,7.711887705979377e-7
539,1.3843562931548535e-6
540,1.0433355718900017e-4
541,2.684160482828782e-5
542,3.769724491146118e-4
543,1.9255512084284537e-5
544,1.8769631297348342e-9
545,7.393164756803448e-5
546,3.415077286578665e-6
547,3.1608272378749705e-7
548,1.3285308142902314e-6
549,3.231773447188051e-6
550,2.0035493850836727e-4
551,1.1261360788088266e-5
552,4.89699778180215e-5
553,2.5845354887865906e-4
554,1.1616455253906318e-4
555,1.3358449409541312e-5
556,1.849793158520113e-4
557,0.0010898148787298288
558,7.239788370980187e-5
559,5.1123288438937426e-5
560,9.65651038026979e-6
561,0.001197093540133559
562,3.488316909537939e-5
563,4.667771517365587e-4
564,0.0015828547254365436
565,4.3858968032988695e-5
566,3.298459027236212e-6
567,9.772383774406623e-6
568,3.7914742304450327e-6
569,7.68779769232243e-5
570,1.2715035345628963e-4
571,1.7845913511757814e-7
572,9.1282286331005e-6
573,1.886335341432209e-4
574,4.574589609234355e-6
575,1.0444016152428421e-5
576,2.676755068941487e-5
577,5.216920855781195e-6
578,4.207672257305798e-8
579,1.2054915326654002e-6
580,5.3693560179588995e-6
581,2.9767550490143095e-5
582,3.206029304683325e-6
583,1.699976747109787e-7
584,2.3775692666679197e-5
585,9.649015817946933e-5
586,3.549434870648933e-6
587,6.4153392257642606e-6
588,2.263400652144202e-6
589,1.0003782107918293e-4
590,9.655017369340812e-6
591,2.091351760176786e-7
592,6.535530394220585e-6
593,1.462026019235947e-5
594,0.0020408515535614413
595,0.004813414277667047
596,0.0013733809010755417
597,0.0017571592010665077
598,0.0031163000511337923
599,0.001847978377019048
600,4.1774556256722275e-4
601,5.705262195412528e-6
602,1.1811996801089595e-7
603,6.74834777535378e-7
604,2.807898468988283e-6
605,1.9367554439296933e-5
606,1.5288052397153236e-5
607,8.361908942833007e-5
608,4.5550226266462344e-4
609,2.1766761829997223e-4
610,0.0012428027034767245
611,2.462676368307697e-6
612,8.03051825755732e-8
613,4.418328065902455e-7
614,4.319525032204912e-8
615,1.8338661958760337e-7
616,3.6518091973084214e-6
617,3.6899387414952956e-6
618,3.865079300900767e-8
619,1.2103276987847701e-8
620,1.9069099898846345e-9
621,3.8945951111031695e-9
622,8.644714655270559e-10
623,9.492302496104909e-11
624,4.843073918553995e-11
625,4.1520110341525795e-10
626,8.829425209481037e-11
627,6.180981095954715e-12
628,1.6989065434602437e-9
629,2.5570475459188083e-9
630,7.594171102052708e-11
631,5.793308293683885e-9
632,4.100976344670116e-11
633,2.098194352488826e-8
634,2.7294959455102754e-10
635,1.0334260653664884e-7
636,5.013685399528756e-9
637,1.3344730889050193e-7
638,5.008551900849926e-8
639,3.820334396162121e-8
640,8.993222411874607e-9
641,2.2767045093553563e-7
642,4.7947737077626195e-8
643,5.415386188756004e-8
644,1.625218406141293e-7
645,2.9164409080980807e-7
646,4.355008987800835e-7
647,5.445908258754896e-9
648,4.907958060610383e-12
649,4.5735655915295934e-8
650,1.4760763514236054e-8
651,3.086187614176793e-8
652,1.761951465848562e-11
653,4.0944253787533177e-7
654,8.94780326890305e-8
655,4.0260170869825504e-8
656,1.1790146868164975e-7
657,1.7561873770518341e-7
658,2.744406005049374e-7
659,6.7409087545576275e-9
660,1.490944700787881e-9
661,2.7196360888324308e-8
662,1.5396783596086782e-12
663,8.279599517728575e-9
664,9.022053279441425e-10
665,8.676987635482008e-10
666,3.888709315878814e-9
667,4.494428344143249e-9
668,4.367133577580851e-9
669,5.244168451317566e-4
670,8.864723507777469e-10
671,1.239414887958176e-6
672,6.747784244652142e-6
673,6.779733351831599e-6
674,7.672539457469549e-6
675,7.034221107096111e-7
676,3.3521733885937846e-5
677,2.0019171105320406e-5
678,2.9721395996868775e-5
679,2.1182419534011872e-5
680,5.3370558717844335e-5
681,3.0293747767759028e-5
682,1.5098983514431835e-6
683,1.1497162360020897e-4
684,2.4696235575643826e-5
685,2.4573173769439165e-7
686,8.200651001693036e-6
687,2.3815601166137762e-8
688,6.438887088241754e-7
689,8.493992460261202e-6
690,2.131923733019912e-6
691,7.489520051416218e-7
692,3.4008796525664387e-6
693,3.4008796525664387e-6
694,4.492408911816247e-6
695,7.638235203560453e-9
696,5.623313736233984e-5
697,1.0660724431298518e-6
698,1.171711321461425e-6
699,1.2436721238769001e-5
700,3.049517963567813e-7
701,2.2641238980617785e-6
702,4.9329270885872876e-6
703,4.4438444868504004e-5
704,2.0784062304584094e-7
705,1.1810702855560649e-5
706,1.1535967531328339e-7
707,2.2120813638789588e-5
708,2.329830588651152e-4
709,1.8679377325075154e-9
710,1.1270737773971304e-5
711,6.421475767429526e-7
712,4.695004921374954e-6
713,2.6455372367237176e-7
714,4.3764055085022407e-7
715,2.9821989100978365e-8
716,1.0880965736316357e-4
717,2.0618132952886313e-8
718,1.8895437899384422e-6
719,3.2696561177512117e-6
720,8.775776101273747e-5
721,2.1732725845012793e-7
722,3.841551169488823e-6
723,4.523940554675997e-6
724,2.889018332618328e-6
725,9.434468594830351e-6
726,1.3765594296185416e-8
727,5.67450640670904e-7
728,8.253498570186883e-5
729,5.389106123651575e-5
730,1.0024554939669863e-4
731,7.841782407101458e-5
732,2.668982100445052e-6
733,1.0650917093949805e-4
734,8.048181479162139e-6
735,1.2130484858335683e-5
736,3.062520088572741e-6
737,2.350026845462549e-7
738,6.151091328942118e-6
739,3.8811660462231646e-7
740,7.393531455482202e-7
741,1.029271189541979e-6
742,2.2188530524412326e-6
743,2.065023515095816e-5
744,1.663942766595271e-10
745,9.30365748355902e-6
746,9.461063465526065e-7
747,2.4325890624012614e-7
748,5.681117034249367e-6
749,2.2899109897714915e-7
750,3.5711294479239216e-7
751,2.0564245078794036e-8
752,8.76683816338252e-7
753,7.20404829252297e-6
754,4.869959599531785e-7
755,2.6826525639425843e-6
756,7.129758010329737e-8
757,2.1811085071699493e-8
758,4.1951612869668044e-7
759,1.5862651282281577e-8
760,3.758105230621551e-7
761,5.185864433125669e-10
762,4.1857603481778436e-7
763,9.28646110126869e-9
764,1.9126848443529963e-7
765,6.76982576668475e-10
766,2.2316582527867088e-7
767,3.0603877183843514e-6
768,6.601073588090257e-7
769,3.865948296657414e-7
770,1.3537425864258398e-7
771,2.475101797436025e-7
772,6.482610425842063e-6
773,5.55532650918975e-7
774,1.2787714684191417e-10
775,1.3778753831392591e-6
776,2.823015871249898e-8
777,3.683489100517092e-8
778,1.5178972139379457e-7
779,1.8987688715883624e-7
780,0.002189113895314498
781,6.173103695737283e-8
782,6.832022081047392e-7
783,3.273855264653352e-8
784,7.323441877068759e-7
785,4.121038749085598e-7
786,5.399554634999431e-6
787,6.538254904906466e-6
788,3.898324507541042e-6
789,3.9767040045375806e-6
790,1.8639988722332593e-6
791,1.4379958593516563e-6
792,5.9626247028483996e-6
793,3.1429251370675437e-6
794,1.4973157946638493e-6
795,8.190543310978808e-7
796,3.690106725673931e-7
797,1.878937052887801e-6
798,2.2244911224091413e-6
799,1.8667760258032295e-6
800,1.7899776041080154e-6
801,1.5253580916345404e-7
802,6.273533190183819e-7
803,1.0345783077926073e-13
804,1.4171099225354367e-12
805,1.2891264081691038e-12
806,3.9169466852972165e-13
807,1.016437008195164e-12
808,1.2534292150032846e-12
809,6.781558656152199e-4
810,6.051882214192766e-12
811,1.1009791402095292e-12
812,4.1058736565540355e-13
813,3.004717176359306e-13
814,1.149815606307095e-11
815,1.942057266693596e-13
816,2.0412817272518995e-13
817,3.2708270000402246e-14
818,3.5355016686681094e-13
819,2.8556156206256132e-11
820,2.0351647216126416e-12
821,3.6298022299145052e-12
822,1.8196830660855813e-14
823,1.1821265262749203e-13
824,8.543572225271657e-13
825,2.8653739894071916e-11
826,2.5059471438106754e-12
827,2.842074946630374e-12
828,2.6581223220839106e-13
829,3.886045506564524e-13
830,8.538883144391489e-13
831,2.924963076423704e-11
832,1.959935927946955e-12
833,2.806273288259868e-12
834,5.60161838463825e-7
835,4.428044884889442e-7
836,3.837812668667688e-5
837,1.2467039319273214e-7
838,3.258864872537759e-5
839,1.4044863944474698e-6
840,2.1323947708220727e-5
841,1.5099760687389017e-5
842,8.333044316120604e-7
843,2.3458951604949169e-4
844,0.004142265305885581
845,2.4794936821755665e-5
846,9.787014368477861e-7
847,1.1928683646871583e-5
848,2.056948622637188e-6
849,3.946130714022754e-6
