"Observed_Outcome","Cooks_Distance"
116,7.15234116261439e-06
117,1.32252886045043e-07
118,5.53406987578395e-07
119,0.000146999621495112
120,3.58641864408885e-06
121,0.000223475903391824
122,0.000124281872937228
123,3.84470704582037e-07
124,2.33394683300319e-06
125,2.84484955976786e-05
126,1.30706984407467e-07
127,2.85857323684108e-07
128,7.21531622521223e-08
129,2.89784756168721e-07
130,6.7710475877159e-06
131,8.43769314357799e-06
132,1.22958753126713e-06
133,2.63697394106748e-06
134,5.5825473992323e-06
135,6.3060672205675e-05
136,1.88911352425134e-05
137,1.11117339683425e-06
138,2.6651438724997e-07
139,0.000183926847916663
140,2.78778351617768e-06
141,5.39001922250338e-05
142,7.34499012128535e-06
143,1.79346458213821e-06
144,5.06419209967954e-07
145,7.35655872524123e-06
146,7.14468666220782e-05
147,1.2368763365291e-06
148,1.16344216983047e-06
149,8.35512688654101e-06
150,2.51025549538379e-06
151,2.72813351956154e-05
152,1.27560513544529e-05
153,1.73534463769716e-05
154,4.8495004541555e-08
155,1.11024666408336e-06
156,5.82870199534474e-05
157,5.52301023881024e-06
158,3.14120682961429e-06
159,1.34344308506429e-05
160,3.31967392072725e-06
161,1.0725585983525e-05
162,5.47929949975401e-05
163,5.66702616595471e-06
164,0.000149058457302893
165,2.09336945412241e-07
166,1.68489616798824e-05
167,1.57631036121857e-05
168,6.91591185117158e-07
169,2.17609402697112e-06
170,8.97812758712209e-06
171,8.61777965006547e-06
172,1.5692347278168e-05
173,2.49826013637248e-05
174,3.26365427374117e-05
175,2.84453710078035e-05
176,2.49236541665839e-05
177,2.19561595457325e-05
178,0.00369408865202576
179,0.000122961415847846
180,1.48176066673723e-06
181,3.59035338565694e-05
182,2.18120936686109e-07
183,0.000132693389920104
184,3.33690523035721e-05
185,3.11001684433825e-05
186,2.84915704880122e-06
187,5.20712840551716e-05
188,6.45471577193296e-06
189,2.16708066790792e-06
190,4.56157600690675e-05
191,1.25693654852569e-08
192,4.64169964257653e-07
193,7.96860161190591e-09
194,4.57621105509754e-07
195,6.43458694548769e-05
196,0.000104685071025977
197,1.98404287564149e-05
198,2.57198210892199e-05
199,3.89417137790178e-07
200,0.000139544563154911
201,1.54872134501915e-06
202,2.53973913480196e-06
203,4.62684579286265e-06
204,2.34315372872829e-06
205,1.85420830879714e-06
206,3.21243359135272e-05
207,1.7404143386713e-06
208,2.39397174095079e-08
209,7.61935526159402e-10
210,1.11869538594176e-05
211,6.43001012814953e-09
212,2.96541094848119e-07
213,4.79726066659648e-06
214,4.40599290298087e-07
215,7.09603065192028e-07
216,9.99664797868756e-07
217,2.31273745371084e-06
218,2.48050521341617e-06
219,2.09564841519632e-07
220,4.21438368811377e-06
221,4.23777870835883e-06
222,3.08643960424627e-05
