Observed_Outcome,Residuals,Standard_Errors,Z_Values
183,0.2021436296618458,0.591448656340952,0.3417771390545119
184,-0.20151639178919498,1.3570442790483994,-0.14849654863915301
185,-0.5505885870033744,0.7743251302794595,-0.7110560738286552
186,-0.6583135976295704,1.28181389034948,-0.5135797034077112
187,-0.24534339581106102,0.16930524857078993,-1.4491186651456822
188,-0.16599151209090604,0.3535513366227625,-0.46949762282476715
189,-0.14078808439584672,0.248969629568572,-0.5654829652910354
190,-0.06441000896767476,0.26735958633325946,-0.24091153734577042
191,-0.5218990461774549,0.2784442465822981,-1.8743394865700709
192,-0.0636620571414374,0.0866817436889709,-0.7344344314284664
193,-0.020148995893612617,0.09433776992018897,-0.21358355100675944
194,-0.06365878621965859,0.09594507322991076,-0.6634919759466402
195,-0.1231472850167401,0.1401085207129504,-0.8789421541966037
196,-0.06490175235151173,0.16738844983161083,-0.38773136627289095
197,0.01868081023337676,0.10950373212517531,0.17059519224442923
198,-0.039017424695625136,0.1176560265447486,-0.33162283175342044
199,0.565255370886095,0.2880934940608759,1.962055313774816
200,0.41351127583072744,0.5188533121697902,0.79697144863828
201,0.2729010941903749,0.474023060161677,0.5757126965453861
202,0.23453053328185453,0.5073908652088833,0.4622285290558053
203,0.851779307463924,0.23549100486670993,3.61703542751469
204,0.051571790811993146,0.143304556896478,0.35987544240653957
205,0.02916362319430127,0.17961538494935445,0.16236706673275478
206,0.11565888838530972,0.21316275486496333,0.5425848828918475
207,0.4314249216827467,0.2057281584420529,2.0970630610309255
208,0.10920019305089704,0.21872103769396328,0.499266985024509
209,0.06928684561689004,0.18368900664031376,0.3771964739978284
210,0.09936949474604967,0.15260165074867088,0.6511691994060238
211,0.020463062324821257,0.10474654419706399,0.19535787535217636
212,-0.021378806536633585,0.11517278351390227,-0.18562377225217444
213,0.033715752736925876,0.12321227733233654,0.2736395549770211
214,-0.29491124230551496,0.11347025809695378,-2.5990179916003218
215,-0.15969442549343782,0.14839316458606952,-1.0761575571145223
216,-0.06976415414207551,0.16622380330600645,-0.41970014374923525
217,-0.13034537339375288,0.11561820510793762,-1.1273775896457345
218,0.015864901623346014,0.06866717900133357,0.23104053281463488
219,0.11145770067544042,0.2089298481069837,0.5334694955522481
220,0.021522570362976997,0.06763000597603369,0.3182399595026508
221,0.018515655056030925,0.06511773894922816,0.28434118497983246
222,0.009644597758031727,0.06534247349327552,0.1476007448512684
223,0.023954025613748202,0.07243578795539499,0.3306932428000753
224,0.021411979731216352,0.07364965384485365,0.2907274999054532
225,0.1473645021672319,0.26014965983872773,0.5664604837791688
226,-0.04335031463870213,0.09614623837175743,-0.45087894620572183
227,-0.058591681204858165,0.12659270915755225,-0.4628361427350235
228,-0.005801790526101478,0.10619457074112812,-0.05463358894537629
229,-0.010526680617117888,0.11684963053656035,-0.09008741036476159
230,0.06730414411132517,0.1192812862502269,0.5642473033878534
231,0.06437656911789984,0.12702458451490753,0.5068040124968458
232,0.053207526702856354,0.06661128413755946,0.7987764744630519
233,0.018444976727516604,0.06552265005453736,0.28150535291481715
234,-0.056478693018159165,0.07332025363857131,-0.7703013862522651
235,0.0012039008850646292,0.07749508434041466,0.015535190332540612
236,0.04224625040540231,0.11028363493234465,0.38306907848402877
237,0.017631410086031817,0.11818902802125443,0.14917975366428335
238,-0.053400679550769825,0.07104293287691087,-0.7516677224361212
239,0.06855145734795917,0.09595863176571194,0.7143855230796867
240,0.05016762644492438,0.08804883545613562,0.5697704709554848
241,0.14439357403575642,0.09731265031308516,1.4838109287045131
242,-0.15561430215450642,0.0903856179030973,-1.7216710552484245
243,0.05859753373796585,0.2171258049381142,0.2698782567768372
244,-0.06150909571707233,0.10542738071661378,-0.583426196297215
245,0.024055614349395685,0.14017041666989888,0.1716169140457549
246,-0.00728101795794843,0.06832321469901743,-0.10656726253328855
247,-0.003674480901093873,0.06887224699394132,-0.05335212747475942
