Entry ID;Source ID;MC species;MC variety;MC latin;CC species;CC variety;CC latin;Location ;Year;Intercropping design;Width;Distance to the CC;Relative density  ;Density design;RSD;RHD;SH period;System;Fertilizer type;Fertilizer detail;N dose;N unit;Pest management type;AES;Sub-category;Metric;Unit;Treatment value;Treatment MV;Control value;Control MV;MV metric;n_Treatment;n_Control;Relationship;Comment;Entered by;Reviewed by
491;Altieri, 1983;Cabbage;Collard;Brassica oleracea;Bean;;Phaseolus vulgaris ?;Santa Cruz, CA, USA;1981;Mixed;NR;NR;100%;Additive;0;0;+70;No chemicals;Organic;Poultry manure;NA;NA;NA;Productivity;Harvested biomass;per unit of area;g/m2 ;334,4;NA;213,6;NA;NA;3;3;Positive;weed free all season;TLN;JCR
492;Altieri, 1983;Cabbage;Collard;Brassica oleracea;Bean;;Phaseolus vulgaris ?;Santa Cruz, CA, USA;1981;Mixed;NR;NR;100%;Additive;0;0;+70;No chemicals;Organic;Poultry manure;NA;NA;NA;Productivity;Harvested biomass;per unit of area;g/m2 ;324;NA;361,3;NA;NA;3;3;Positive;weed free 4 weeks after transplanting;TLN;JCR
493;Altieri, 1983;Cabbage;Collard;Brassica oleracea;Bean;;Phaseolus vulgaris ?;Santa Cruz, CA, USA;1981;Mixed;NR;NR;100%;Additive;0;0;+70;No chemicals;Organic;Poultry manure;NA;NA;NA;Productivity;Harvested biomass;per unit of area;g/m2 ;309,4;NA;243;NA;NA;3;3;Positive;weed free 2 weeks after transplanting;TLN;JCR
494;Altieri, 1983;Cabbage;Collard;Brassica oleracea;Bean;;Phaseolus vulgaris ?;Santa Cruz, CA, USA;1981;Mixed;NR;NR;100%;Additive;0;0;+70;No chemicals;Organic;Poultry manure;NA;NA;NA;Productivity;Harvested biomass;per unit of area;g/m2 ;115,2;NA;26,1;NA;NA;3;3;Positive;no weeding;TLN;JCR
495;Altieri, 1983;Cabbage;Collard;Brassica oleracea;Bean;;Phaseolus vulgaris ?;Santa Cruz, CA, USA;1981;Mixed;NR;NR;100%;Additive;0;0;+70;No chemicals;Organic;Poultry manure;NA;NA;NA;Product quality;Marketability and commercial quality;Pest damage;Beetles (% of leaves damaged);34,1;NA;54,4;NA;NA;3;3;Negative;weed free all season;TLN;JCR
496;Altieri, 1983;Cabbage;Collard;Brassica oleracea;Bean;;Phaseolus vulgaris ?;Santa Cruz, CA, USA;1981;Mixed;NR;NR;100%;Additive;0;0;+70;No chemicals;Organic;Poultry manure;NA;NA;NA;Product quality;Marketability and commercial quality;Pest damage;Beetles (% of leaves damaged);10,9;NA;44,6;NA;NA;3;3;Negative;weed free 4 weeks after transplanting;TLN;JCR
497;Altieri, 1983;Cabbage;Collard;Brassica oleracea;Bean;;Phaseolus vulgaris ?;Santa Cruz, CA, USA;1981;Mixed;NR;NR;100%;Additive;0;0;+70;No chemicals;Organic;Poultry manure;NA;NA;NA;Product quality;Marketability and commercial quality;Pest damage;Beetles (% of leaves damaged);6,7;NA;44,5;NA;NA;3;3;Negative;weed free 2 weeks after transplanting;TLN;JCR
498;Altieri, 1983;Cabbage;Collard;Brassica oleracea;Bean;;Phaseolus vulgaris ?;Santa Cruz, CA, USA;1981;Mixed;NR;NR;100%;Additive;0;0;+70;No chemicals;Organic;Poultry manure;NA;NA;NA;Product quality;Marketability and commercial quality;Pest damage;Beetles (% of leaves damaged);32,1;NA;29,9;NA;NA;3;3;Negative;no weeding;TLN;JCR
499;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;2,681;NA;3,089;NA;NA;1;1;Positive;cv. S868;TLN;JCR
500;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;3,365;NA;4,320;NA;NA;1;1;Positive;cv. Shoshu;TLN;JCR
501;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Productivity;Saleable biomass;per plant;kg;1,661;NA;1,647;NA;NA;1;1;Positive;cv. S868;TLN;JCR
502;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Productivity;Saleable biomass;per plant;kg;1,907;NA;2,419;NA;NA;1;1;Positive;cv. Shoshu;TLN;JCR
503;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Product quality;Nutrient quality;NO3-;mg/kg;3126;NA;2712;NA;NA;1;1;Positive;cv. S868;TLN;JCR
504;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Product quality;Nutrient quality;NO3-;mg/kg;4065;NA;3226;NA;NA;1;1;Positive;cv. Shoshu;TLN;JCR
505;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Product quality;Nutrient quality;Glucose;mg/kg;637;NA;413;NA;NA;1;1;Positive;cv. S868;TLN;JCR
506;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Product quality;Nutrient quality;Glucose;mg/kg;697;NA;592;NA;NA;1;1;Positive;cv. Shoshu;TLN;JCR
507;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Product quality;Nutrient quality;Ca;mg/kg;3521;NA;2571;NA;NA;1;1;Positive;cv. S868;TLN;JCR
508;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Product quality;Nutrient quality;Ca;mg/kg;3818;NA;2832;NA;NA;1;1;Positive;cv. Shoshu;TLN;JCR
509;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Product quality;Marketability and commercial quality;Pest damage;all pests (PDI %);42,4;NA;36;NA;NA;1;1;Negative;cv. S868;TLN;JCR
510;Xu, 2010;Cabbage;;Brassica oleracea var. capitata;Tomato;;Solanum lycopersicum;Nagano, Japan;2009;Strip;0,8;0,2;67%;Replacement;earlier;NA;NA;Organic;Organic;Organic Fertilizer;104;kgN/ha;NA;Product quality;Marketability and commercial quality;Pest damage;all pests (PDI %);58,8;NA;48,4;NA;NA;1;1;Negative;cv. Shoshu;TLN;JCR
511;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Common vetch;;Vicia sativa L.;Brookside, Canada;1982;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;1,6;NA;2,6;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
512;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Red clover;;Trifolium pratense L.;Brookside, Canada;1982;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;2,09;NA;2,6;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
513;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Sweet clover;;Melilotus officinalis L.;Brookside, Canada;1982;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;2,37;NA;2,6;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
514;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Common vetch;;Vicia sativa L.;Brookside, Canada;1982;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Product quality;Nutrient quality;Mn;mg/kg;28,2;NA;23;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
515;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Red clover;;Trifolium pratense L.;Brookside, Canada;1982;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Product quality;Nutrient quality;Mn;mg/kg;25,6;NA;23;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
516;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Sweet clover;;Melilotus officinalis L.;Brookside, Canada;1982;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Product quality;Nutrient quality;Mn;mg/kg;27,5;NA;23;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
517;Warman, 1990;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis;Red clover;;Trifolium pratense L.;Brookside, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Productivity;Harvested biomass;per plant;g;319;NA;761;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
518;Warman, 1990;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis;Sweet clover;;Melilotus officinalis L.;Brookside, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Productivity;Harvested biomass;per plant;g;378;NA;761;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
519;Warman, 1990;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis;Sweet clover;;Melilotus officinalis L.;Tatamagouche, Nova Scotia, Canada;1982;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Productivity;Harvested biomass;per plant;g;395;NA;522;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
520;Warman, 1990;Cabbage;Cauliflower;Brassica oleracea L. var. botrytis;Red clover;;Trifolium pratense L.;Tatamagouche, Nova Scotia, Canada;1982;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Productivity;Harvested biomass;per plant;g;322;NA;522;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
521;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Sweet clover;;Melilotus officinalis L.;Tatamagouche, Nova Scotia, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;0,98;NA;1,07;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
522;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Red clover;;Trifolium pratense L.;Tatamagouche, Nova Scotia, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;0,8;NA;1,07;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
523;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Sweet clover;;Melilotus officinalis L.;Tatamagouche, Nova Scotia, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Product quality;Nutrient quality;DTPA Zn;mg/kg;1;NA;1,3;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
524;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Red clover;;Trifolium pratense L.;Tatamagouche, Nova Scotia, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Product quality;Nutrient quality;DTPA Zn;mg/kg;1,7;NA;1,3;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
525;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Sweet clover;;Melilotus officinalis L.;Tatamagouche, Nova Scotia, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Product quality;Nutrient quality;Zn;mg/kg;17,4;NA;18,1;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
526;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Red clover;;Trifolium pratense L.;Tatamagouche, Nova Scotia, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Product quality;Nutrient quality;Zn;mg/kg;17,4;NA;18,1;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
527;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Sweet clover;;Melilotus officinalis L.;Tatamagouche, Nova Scotia, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Product quality;Nutrient quality;Mn;mg/kg;50,2;NA;58,4;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
528;Warman, 1990;Cabbage;;Brassica oleracea L. var. capitata;Red clover;;Trifolium pratense L.;Tatamagouche, Nova Scotia, Canada;1983;NA;NA;NA;100%;Additive;NA;NA;NA;Conventional;Synthetic;Synthetic fertilizer;120;kgN/ha;NA;Product quality;Nutrient quality;Mn;mg/kg;59,2;NA;58,4;NA;NA;3;3;Positive;with fertilization for both treatment and control;TLN;JCR
529;Moraes,2008;Cabbage;White cabbage;Brassica oleracea var. capitata L. 'Sooshu';Nasturtium;;Tropaeolum majus L. 'Jewel';Dourados, Brazil;2003;Row;Variable;Variable;100%;Additive;0;+15;+140;No chemicals;No fertilization;No amendment;0;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;t/ha;26,79;11,71;28,88;11,71;CV;3;3;Positive;2 rows;JCR;TLN
530;Moraes,2008;Cabbage;White cabbage;Brassica oleracea var. capitata L. 'Sooshu';Nasturtium;;Tropaeolum majus L. 'Jewel';Dourados, Brazil;2003;Row;Variable;Variable;100%;Additive;0;+15;+140;No chemicals;No fertilization;No amendment;0;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;t/ha;44,73;11,71;38,68;11,71;CV;3;3;Positive;3 rows;JCR;TLN
531;Moraes,2008;Cabbage;Red cabbage;Brassica oleracea var. capitata f. rubra 'Red Extra Early';Nasturtium;;Tropaeolum majus L. 'Jewel';Dourados, Brazil;2003;Row;Variable;Variable;100%;Additive;0;+15;+140;No chemicals;No fertilization;No amendment;0;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;t/ha;16,53;11,71;20,68;11,71;CV;3;3;Positive;2 rows;JCR;TLN
532;Moraes,2008;Cabbage;Red cabbage;Brassica oleracea var. capitata f. rubra 'Red Extra Early';Nasturtium;;Tropaeolum majus L. 'Jewel';Dourados, Brazil;2003;Row;Variable;Variable;100%;Additive;0;+15;+140;No chemicals;No fertilization;No amendment;0;kgN/ha;No insecticide;Productivity;Harvested biomass;per unit of area;t/ha;22,48;11,71;25,71;11,71;CV;3;3;Positive;3 rows;JCR;TLN
533;Hooks,2004;Cabbage;Broccoli;Brassica oleracea L. var. botrytis;Yellow sweetclover;;Melilotus officinalis L.;Island of Oahu, Hawaii, USA;2000;Row;Variable;Variable;100%;Additive;-70;NA;+58;Conventional;Synthetic;Urea;126;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;0,33;0,01;0,35;0,01;SE;4;4;Positive;Same author and location as Hooks,2001 and Hooks,2002. Should be nested together;TLN;JCR
534;Hooks,2004;Cabbage;Broccoli;Brassica oleracea L. var. botrytis;Strawberry clover;;Trifolium fragiferum L.;Island of Oahu, Hawaii, USA;2000;Row;Variable;Variable;100%;Additive;-70;NA;+58;Conventional;Synthetic;Urea;126;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;0,4;0,02;0,35;0,01;SE;4;4;Positive;Same author and location as Hooks,2001 and Hooks,2002. Should be nested together;TLN;JCR
535;Hooks,2004;Cabbage;Broccoli;Brassica oleracea L. var. botrytis;White clover;;Trifolium repens L.;Island of Oahu, Hawaii, USA;2000;Row;Variable;Variable;100%;Additive;-70;NA;+58;Conventional;Synthetic;Urea;126;kgN/ha;NA;Productivity;Harvested biomass;per plant;kg;0,39;0,01;0,35;0,01;SE;4;4;Positive;Same author and location as Hooks,2001 and Hooks,2002. Should be nested together;TLN;JCR
536;Hooks,2004;Cabbage;Broccoli;Brassica oleracea L. var. botrytis;Yellow sweetclover;;Melilotus officinalis L.;Island of Oahu, Hawaii, USA;2000;Row;Variable;Variable;100%;Additive;-70;NA;+58;Conventional;Synthetic;Urea;126;kgN/ha;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);13,7;0,28;13;0,35;SE;4;4;Positive;Same author and location as Hooks,2001 and Hooks,2002. Should be nested together;TLN;JCR
537;Hooks,2004;Cabbage;Broccoli;Brassica oleracea L. var. botrytis;Strawberry clover;;Trifolium fragiferum L.;Island of Oahu, Hawaii, USA;2000;Row;Variable;Variable;100%;Additive;-70;NA;+58;Conventional;Synthetic;Urea;126;kgN/ha;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);14,7;0,35;13;0,35;SE;4;4;Positive;Same author and location as Hooks,2001 and Hooks,2002. Should be nested together;TLN;JCR
538;Hooks,2004;Cabbage;Broccoli;Brassica oleracea L. var. botrytis;White clover;;Trifolium repens L.;Island of Oahu, Hawaii, USA;2000;Row;Variable;Variable;100%;Additive;-70;NA;+58;Conventional;Synthetic;Urea;126;kgN/ha;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);14,4;0,24;13;0,35;SE;4;4;Positive;Same author and location as Hooks,2001 and Hooks,2002. Should be nested together;TLN;JCR
539;Silva, 2011;Cabbage;;Brassica oleracea var. acephala ;Dwarf mucuna;;Mucuna deeringiana;Seropedica, Brazil;2003;Row;0,25;0,25;100%;Additive;0;-35;+167;Organic;Organic;Poultry manure + cattle manure;439,2;kgN/ha;Organic;Productivity;Saleable biomass;per unit of area;t/ha;40,3;NA;37,6;NA;NA;8;8;Positive;companion crop used as green manure;TLN;JCR
540;Silva, 2011;Cabbage;;Brassica oleracea var. acephala ;Crotalaria spectabilis;;Crotalaria spectabilis;Seropedica, Brazil;2003;Row;0,25;0,25;100%;Additive;0;-35;+167;Organic;Organic;Poultry manure;439,2;kgN/ha;Organic;Productivity;Saleable biomass;per unit of area;t/ha;43;NA;37,6;NA;NA;8;8;Positive;companion crop used as green manure;TLN;JCR
541;Silva, 2011;Cabbage;;Brassica oleracea var. acephala ;Dwarf mucuna;;Mucuna deeringiana;Seropedica, Brazil;2004;Row;0,25;0,25;100%;Additive;0;-21;+167;Organic;Organic;Poultry manure;340,4;kgN/ha;Organic;Productivity;Saleable biomass;per unit of area;t/ha;38,8;NA;18,4;NA;NA;8;8;Positive;companion crop used as green manure;TLN;JCR
542;Silva, 2011;Cabbage;;Brassica oleracea var. acephala ;Crotalaria spectabilis;;Crotalaria spectabilis;Seropedica, Brazil;2004;Row;0,25;0,25;100%;Additive;0;-21;+167;Organic;Organic;Poultry manure;340,4;kgN/ha;Organic;Productivity;Saleable biomass;per unit of area;t/ha;24,8;NA;18,4;NA;NA;8;8;Positive;companion crop used as green manure;TLN;JCR
543;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;0;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;g;63,66;9,11;67,2;9,11;CV;4;4;Positive;;TLN;JCR
544;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;+7;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;g;64,55;9,11;67,2;9,11;CV;4;4;Positive;;TLN;JCR
545;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;+14;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;g;58,48;9,11;67,2;9,11;CV;4;4;Positive;;TLN;JCR
546;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;+21;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;g;66,78;9,11;67,2;9,11;CV;4;4;Positive;;TLN;JCR
547;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;+28;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Productivity;Harvested biomass;per plant;g;64,94;9,11;67,2;9,11;CV;4;4;Positive;;TLN;JCR
548;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;0;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Grading;Diameter (cm);25,75;8,92;27;8,92;CV;4;4;Positive;;TLN;JCR
549;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;+7;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Grading;Diameter (cm);26,25;8,92;27;8,92;CV;4;4;Positive;;TLN;JCR
550;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;+14;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Grading;Diameter (cm);23,5;8,92;27;8,92;CV;4;4;Positive;;TLN;JCR
551;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;+21;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Grading;Diameter (cm);26,75;8,92;27;8,92;CV;4;4;Positive;;TLN;JCR
552;Ohse, 2012;Cabbage;Broccoli;Brassica oleracea L. var. italica;Lettuce;;Lactuca sativa L.;Ponta Grossa, Brazil;2010;Row;0,4;0,4;100%;Additive;+28;-28;+84;Conventional;Synthetic;NA;240;kgN/ha;No insecticide;Product quality;Marketability and commercial quality;Grading;Diameter (cm);26,5;8,92;27;8,92;CV;4;4;Positive;;TLN;JCR
553;Brito, 2017;Cabbage;Broccoli;Brassica oleracea L. var. italica;Taro;;Colocasia esculenta;Vicosa, Brazil;2014-2015;Mixed;NR;NR;100%;Additive;-12;+115;+187;NA;NA;NA;NA;NA;NA;Productivity;Harvested biomass;per unit of area;t/ha;22,23;NA;26,69;NA;NA;4;4;Positive;;TLN;JCR
554;Rezende, 2009;Cabbage;;Brassica oleracea var. capitata L.;Pepper;;Capsicum annuum;Jaboticabal, Brazil;2003-2004;Strip;1,1;0,4;100%;Additive;NA;NA;NA;Conventional;Organic;Mixed;400;kgN/ha;Conventional;Productivity;Harvested biomass;per unit of area;kg/ha;74330;NA;84703;NA;NA;6;6;Positive;;TLN;JCR
555;Resende, 2010;Cabbage;;Brassica oleracea var. acephala D.C.;Coriander;;Coriandrum sativum;Seropedica, Brazil;2007;Row;0,1;0,1;100%;Additive;-7;-139;+187;Organic;Organic;Cattle Manure + bean cake;400;kgN/ha;NA;Productivity;Harvested biomass;per unit of area;kg/m2;5,503;34,71;6,496;34,71;CV;4;4;Positive;;TLN;JCR
556;Ali Qasim, 2013;Cabbage;Cauliflower;Brassica oleracea var. botrytis ‘Hybrid RS 5340’;Pea;;Pisum sativum ‘Early 6 ‘;Multan, Pakistan;2010-2012;Mixed;NR;NR;100%;Additive;0;0;+222;Conventional;Synthetic;NA;90;kgN/ha;NA;Productivity;Harvested biomass;per plant;g;169,83;NA;251,9;NA;NA;6;6;Positive;;TLN;JCR
557;Ali Qasim, 2013;Cabbage;Cauliflower;Brassica oleracea var. botrytis ‘Hybrid RS 5340’;Pea;;Pisum sativum ‘Early 6 ‘;Multan, Pakistan;2010-2012;Mixed;NR;NR;100%;Additive;0;0;+222;Conventional;Synthetic;NA;90;kgN/ha;NA;Product quality;Marketability and commercial quality;Grading;Diameter (cm);17,09;NA;20,49;NA;NA;6;6;Positive;;TLN;JCR
558;Karasawa, 2012;Cabbage;;Brassica oleracea L.;Woolly pod vetch;;Vicia villosa spp.;Hokkaido, Japan;2000;Row;NA;NA;100%;Additive;+15;+30;+77;Conventional;Synthetic;Ammonium sulfate;150;kgN/ha;NA;Productivity;Harvested biomass;per unit of area;t/ha;26,3;0,72;30,1;1,67;SE;3;3;Positive;;TLN;JCR
559;Karasawa, 2012;Cabbage;;Brassica oleracea L.;Red clover;;Trifolium pratense L.;Hokkaido, Japan;2000;Row;NA;NA;100%;Additive;+15;+30;+77;Conventional;Synthetic;Ammonium sulfate;150;kgN/ha;NA;Productivity;Harvested biomass;per unit of area;t/ha;28,8;1,76;30,1;1,67;SE;3;3;Positive;;TLN;JCR
560;Karasawa, 2012;Cabbage;;Brassica oleracea L.;White clover;;Trifolium repens L.;Hokkaido, Japan;2000;Row;NA;NA;100%;Additive;+15;+30;+77;Conventional;Synthetic;Ammonium sulfate;150;kgN/ha;NA;Productivity;Harvested biomass;per unit of area;t/ha;27,7;2,56;30,1;1,67;SE;3;3;Positive;;TLN;JCR
561;Karasawa, 2012;Cabbage;;Brassica oleracea L.;Red clover;;Trifolium pratense L.;Hokkaido, Japan;2000;Row;NA;NA;100%;Additive;+40;+30;+77;Conventional;Synthetic;Ammonium sulfate;150;kgN/ha;NA;Productivity;Harvested biomass;per unit of area;t/ha;29,8;0,86;30,1;1,67;SE;3;3;Positive;;TLN;JCR
